county,year,pop
1109,2001,29631
1109,2002,29279
1109,2003,29413
1109,2004,29727
1109,2005,29685
1109,2006,29975
1109,2007,30186
1109,2008,30371
1109,2009,30461
1109,2010,32964
1109,2011,32999
1109,2012,33113
1109,2013,999999
1109,2014,999999
1111,2001,22470
1111,2002,22429
1111,2003,22268
1111,2004,22394
1111,2005,22472
1111,2006,22461
1111,2007,22389
1111,2008,22620
1111,2009,22577
1111,2010,22893
1111,2011,22807
1111,2012,22623
1111,2013,999999
1111,2014,999999
1113,2001,49408
1113,2002,49188
1113,2003,48684
1113,2004,48980
1113,2005,49094
1113,2006,49695
1113,2007,50227
1113,2008,50285
1113,2009,50846
1113,2010,53305
1113,2011,54891
1113,2012,57626
1113,2013,999999
1113,2014,999999
1115,2001,66013
1115,2002,67090
1115,2003,68292
1115,2004,69966
1115,2005,72004
1115,2006,75223
1115,2007,78515
1115,2008,80287
1115,2009,81895
1115,2010,83816
1115,2011,84351
1115,2012,85168
1115,2013,999999
1115,2014,999999
1117,2001,149280
1117,2002,153918
1117,2003,159608
1117,2004,165723
1117,2005,171678
1117,2006,178840
1117,2007,183478
1117,2008,188483
1117,2009,192503
1117,2010,196053
1117,2011,197975
1117,2012,200789
1117,2013,999999
1117,2014,999999
1119,2001,14555
1119,2002,14143
1119,2003,13996
1119,2004,13869
1119,2005,13640
1119,2006,13471
1119,2007,13269
1119,2008,13102
1119,2009,12853
1119,2010,13742
1119,2011,13512
1119,2012,13448
1119,2013,999999
1119,2014,999999
1121,2001,80291
1121,2002,80247
1121,2003,79776
1121,2004,79746
1121,2005,79902
1121,2006,80124
1121,2007,80186
1121,2008,80495
1121,2009,80242
1121,2010,82077
1121,2011,81847
1121,2012,81941
1121,2013,999999
1121,2014,999999
1123,2001,41390
1123,2002,40947
1123,2003,40693
1123,2004,40605
1123,2005,40445
1123,2006,40719
1123,2007,40797
1123,2008,40920
1123,2009,41008
1123,2010,41512
1123,2011,41459
1123,2012,41144
1123,2013,999999
1123,2014,999999
1125,2001,166110
1125,2002,166610
1125,2003,167484
1125,2004,169051
1125,2005,172060
1125,2006,176899
1125,2007,178998
1125,2008,181780
1125,2009,184035
1125,2010,194996
1125,2011,196696
1125,2012,198581
1125,2013,999999
1125,2014,999999
1127,2001,70577
1127,2002,70097
1127,2003,69514
1127,2004,69153
1127,2005,69124
1127,2006,68978
1127,2007,68655
1127,2008,68903
1127,2009,68742
1127,2010,67006
1127,2011,66661
1127,2012,66211
1127,2013,999999
1127,2014,999999
1129,2001,17890
1129,2002,17795
1129,2003,17743
1129,2004,17579
1129,2005,17410
1129,2006,17369
1129,2007,17124
1129,2008,17088
1129,2009,17069
1129,2010,17612
1129,2011,17336
1129,2012,17115
1129,2013,999999
1129,2014,999999
1131,2001,12908
1131,2002,12928
1131,2003,12781
1131,2004,12721
1131,2005,12642
1131,2006,12538
1131,2007,12580
1131,2008,12617
1131,2009,12384
1131,2010,11562
1131,2011,11482
1131,2012,11355
1131,2013,999999
1131,2014,999999
1133,2001,24546
1133,2002,24468
1133,2003,24350
1133,2004,24307
1133,2005,24236
1133,2006,24321
1133,2007,24326
1133,2008,24068
1133,2009,23997
1133,2010,24402
1133,2011,24334
1133,2012,24171
1133,2013,999999
1133,2014,999999
4001,2001,67857
4001,2002,67267
4001,2003,67938
4001,2004,67943
4001,2005,68250
4001,2006,69066
4001,2007,69278
4001,2008,69520
4001,2009,70591
4001,2010,71761
4001,2011,72391
4001,2012,72968
4001,2013,999999
4001,2014,999999
4003,2001,118573
4003,2002,119750
4003,2003,121175
4003,2004,123235
4003,2005,125637
4003,2006,126751
4003,2007,127736
4003,2008,128425
4003,2009,129518
4003,2010,131807
4003,2011,132960
4003,2012,131843
4003,2013,999999
4003,2014,999999
4005,2001,117803
4005,2002,120390
4005,2003,121545
4005,2004,123349
4005,2005,124804
4005,2006,126029
4005,2007,127451
4005,2008,128426
4005,2009,129849
4005,2010,134624
4005,2011,134186
4005,2012,135999
4005,2013,999999
4005,2014,999999
4007,2001,51165
4007,2002,51225
4007,2003,50906
4007,2004,50848
4007,2005,50914
4007,2006,51635
4007,2007,52231
4007,2008,52273
4007,2009,52199
4007,2010,53539
4007,2011,53486
4007,2012,53036
4007,2013,999999
4007,2014,999999
4009,2001,33307
4009,2002,33120
4009,2003,32785
4009,2004,32441
4009,2005,32629
4009,2006,33286
4009,2007,34736
4009,2008,36204
4009,2009,37045
4009,2010,37140
4009,2011,37083
4009,2012,36958
4009,2013,999999
4009,2014,999999
4011,2001,8281
4011,2002,7706
4011,2003,7381
4011,2004,7307
4011,2005,7292
4011,2006,7465
4011,2007,7760
4011,2008,8058
4011,2009,8041
4011,2010,8338
4011,2011,8585
4011,2012,8763
4011,2013,999999
4011,2014,999999
4012,2001,19537
4012,2002,19346
4012,2003,19516
4012,2004,19696
4012,2005,20007
4012,2006,20118
4012,2007,20133
4012,2008,20005
4012,2009,20012
4012,2010,20449
4012,2011,20496
4012,2012,20365
4012,2013,999999
4012,2014,999999
4013,2001,3200075
4013,2002,3299127
4013,2003,3391391
4013,2004,3502635
4013,2005,3647131
4013,2006,3776118
4013,2007,3872962
4013,2008,3958263
4013,2009,4023132
4013,2010,3825616
4013,2011,3870806
4013,2012,3942959
4013,2013,999999
4013,2014,999999
4015,2001,159840
4015,2002,165177
4015,2003,171019
4015,2004,178313
4015,2005,185940
4015,2006,192724
4015,2007,195852
4015,2008,195601
4015,2009,194825
4015,2010,200378
4015,2011,202635
4015,2012,203126
4015,2013,999999
4015,2014,999999
4017,2001,98549
4017,2002,101358
4017,2003,103220
4017,2004,105020
4017,2005,106968
4017,2006,109000
4017,2007,110999
4017,2008,112348
4017,2009,112975
4017,2010,107714
4017,2011,107435
4017,2012,107037
4017,2013,999999
4017,2014,999999
4019,2001,865694
4019,2002,886063
4019,2003,903320
4019,2004,924205
4019,2005,948965
4019,2006,975476
4019,2007,996593
4019,2008,1009832
4019,2009,1020200
4019,2010,981927
4019,2011,987816
4019,2012,992490
4019,2013,999999
4019,2014,999999
4021,2001,188370
4021,2002,197830
4021,2003,208772
4021,2004,220724
4021,2005,237457
4021,2006,270453
4021,2007,302633
4021,2008,329060
4021,2009,340962
4021,2010,379400
4021,2011,378007
4021,2012,382259
4021,2013,999999
4021,2014,999999
4023,2001,38914
4023,2002,39288
4023,2003,39541
4023,2004,40177
4023,2005,41113
4023,2006,42040
4023,2007,42692
4023,2008,43133
4023,2009,43771
4023,2010,47409
4023,2011,47600
4023,2012,47321
4023,2013,999999
4023,2014,999999
4025,2001,173285
4025,2002,178390
4025,2003,183400
4025,2004,189532
4025,2005,197533
4025,2006,206672
4025,2007,212004
4025,2008,214930
4025,2009,215686
4025,2010,211139
4025,2011,211138
4025,2012,212350
4025,2013,999999
4025,2014,999999
4027,2001,163167
4027,2002,166071
4027,2003,169297
4027,2004,174000
4027,2005,180194
4027,2006,185267
4027,2007,189181
4027,2008,193299
4027,2009,196972
4027,2010,197071
4027,2011,202539
4027,2012,202160
4027,2013,999999
4027,2014,999999
5001,2001,20502
5001,2002,20263
5001,2003,19883
5001,2004,19863
5001,2005,19836
5001,2006,19655
5001,2007,19315
5001,2008,19146
5001,2009,18971
5001,2010,19015
5001,2011,18880
5001,2012,18978
5001,2013,999999
5001,2014,999999
5003,2001,23823
5003,2002,23758
5003,2003,23478
5003,2004,23171
5003,2005,22783
